"standardized_species","exclusion_type","number_of_studies"
"Indo-Pacific King Mackerel (Scomberomorus guttatus)","Broad wild-caught-only group exclusion",4
"Jinga Shrimp (Metapenaeus affinis)","Species-level wild-caught exclusion within retained commodity group",4
"Mangrove Red Snapper (Lutjanus argentimaculatus)","Species-level wild-caught exclusion within retained commodity group",4
"Nile Perch (Lates niloticus)","Broad wild-caught-only group exclusion",4
"Rockfish (no species specified)","Broad wild-caught-only group exclusion",4
"Sand Crab (Ovalipes punctatus)","Species-level wild-caught exclusion within retained commodity group",4
"Scorpionfish (no species specified)","Broad wild-caught-only group exclusion",4
"Shako Mantis Shrimp (Oratosquilla oratoria)","Species-level wild-caught exclusion within retained commodity group",4
"Shrimp (no species specified)","Production method: wild-caught",4
"Silver Silago (Sillago sihama)","Broad wild-caught-only group exclusion",4
"Small-Spotted Catshark (Scyliorhinus canicula)","Broad wild-caught-only group exclusion",4
"Thornfish (Terapon jarbua)","Broad wild-caught-only group exclusion",4
"Atlantic Bonito (Sarda sarda)","Broad wild-caught-only group exclusion",3
"Atlantic Cod (Gadus morhua)","Production method: wild-caught",3
"Atlantic Northern Shrimp (Padalus borealis)","Species-level wild-caught exclusion within retained commodity group",3
"Beltfish (no species specified)","Broad wild-caught-only group exclusion",3
"Bigeye Tuna (Thunnus obesus)","Broad wild-caught-only group exclusion",3
"Black Pomfret (Parastromateus niger)","Species-level wild-caught exclusion within retained commodity group",3
"Blue Whiting (Micromesistius poutassou)","Broad wild-caught-only group exclusion",3
"Bullet Tuna (Auxis rochei)","Broad wild-caught-only group exclusion",3
"Catshark (no species specified)","Broad wild-caught-only group exclusion",3
"Cod (no species specified)","Production method: wild-caught",3
"Common Dab (Limanda limanda)","Species-level wild-caught exclusion within retained commodity group",3
"Conger Pike (Muraenesox cinereus)","Broad wild-caught-only group exclusion",3
"Dotted Gizzard Shad (Konosirus punctatus)","Broad wild-caught-only group exclusion",3
"Emperor (no species specified)","Production method: not specified, exclude",3
"Emperor Fish (Lethrinus nebulosus)","Broad wild-caught-only group exclusion",3
"European Flying Squid (Todarodes sagittatus)","Broad wild-caught-only group exclusion",3
"Flatfish (no species specified)","Production method: not specified, exclude",3
"Goatfish (no species specified)","Broad wild-caught-only group exclusion",3
"Greater Weever (Trachinus draco)","Broad wild-caught-only group exclusion",3
"Grenadier/Hoki (no species specified)","Broad wild-caught-only group exclusion",3
"Gurnard (no species specified)","Broad wild-caught-only group exclusion",3
"Japanese Flying Squid (Todarodes pacificus)","Broad wild-caught-only group exclusion",3
"Japanese Scad (Decapterus maruadsi)","Species-level wild-caught exclusion within retained commodity group",3
"Jawla Paste Shrimp (Acetes indicus)","Species-level wild-caught exclusion within retained commodity group",3
"Kawakawa (Euthynnus affinis)","Broad wild-caught-only group exclusion",3
"Ling (no species specified)","Broad wild-caught-only group exclusion",3
"Longtail Tuna (Thunnus tonggol)","Broad wild-caught-only group exclusion",3
"Mackerel (Rastrelliger brachysoma)","Broad wild-caught-only group exclusion",3
"Mackerel (Scomber colias)","Broad wild-caught-only group exclusion",3
"Mantis Shrimp (Oratosquilla oratoria)","Species-level wild-caught exclusion within retained commodity group",3
"Monkfish (no species specified)","Broad wild-caught-only group exclusion",3
"Moontail Bullseye (Priacanthus hamrur)","Broad wild-caught-only group exclusion",3
"Narrow-barred Spanish Mackerel (Scomberomorus commerson)","Broad wild-caught-only group exclusion",3
"Oilfish (Ruvettus pretiosus)","Broad wild-caught-only group exclusion",3
"Orange Roughy (Hoplostethus atlanticus)","Broad wild-caught-only group exclusion",3
"Oriental River Prawn (Macrobrachium nipponense)","Species-level wild-caught exclusion within retained commodity group",3
"Pacific Cod (Gadus macrocephalus)","Species-level wild-caught exclusion within retained commodity group",3
"Pacific Saury (Cololabis saira)","Broad wild-caught-only group exclusion",3
