"commodity_group","region","number_of_studies"
"Cyprinids (Carp/Minnows)","Romania",1
"Cyprinids (Carp/Minnows)","South Korea",1
"Eel","Italy",1
"Eel","Slovakia",1
"Eel","South Korea",1
"Flatfish","China",1
"Flatfish","Spain",1
"Jack/Scad","Brazil",1
"Jack/Scad","Italy",1
"Jack/Scad","Japan",1
"Jack/Scad","Malaysia",1
"Jack/Scad","Mediterranean Sea",1
"Jack/Scad","Oman",1
"Jack/Scad","South Africa",1
"Jack/Scad","South Korea",1
"Lobster/Crayfish","Bangladesh",1
"Lobster/Crayfish","France",1
"Lobster/Crayfish","Germany",1
"Lobster/Crayfish","Italy",1
"Lobster/Crayfish","Mixed",1
"Lobster/Crayfish","Persian Gulf",1
"Lobster/Crayfish","Poland",1
"Lobster/Crayfish","Spain",1
"Lobster/Crayfish","Sweden",1
"Mullet","Egypt",1
"Mullet","Kuwait",1
"Mullet","Mixed",1
"Mullet","Oman",1
"Mullet","Portugal",1
"Mullet","Senegal",1
"Mullet","Taiwan",1
"Mullet","Turkey",1
"Mullet","USA",1
"Mussel","Algeria",1
"Mussel","Australia",1
"Mussel","Brazil",1
"Mussel","Czech Republic",1
"Mussel","Ecuador",1
"Mussel","Egypt",1
"Mussel","Hungary",1
"Mussel","Indonesia",1
"Mussel","Malaysia",1
"Mussel","Menorca",1
"Mussel","Netherlands",1
"Mussel","Oman",1
"Mussel","Philippines",1
"Mussel","Poland",1
"Mussel","Romania",1
"Mussel","Scotland",1
"Mussel","Sea of Sardinia",1
"Mussel","Senegal",1
"Mussel","Singapore",1
"Mussel","South Africa",1
"Mussel","Sweden",1
"Mussel","Tunisia",1
"Other or Not Otherwise Grouped Aquatic Foods","Iran",1
"Other or Not Otherwise Grouped Aquatic Foods","Japan",1
"Other or Not Otherwise Grouped Aquatic Foods","Kazakhstan",1
"Other or Not Otherwise Grouped Aquatic Foods","Mexico",1
"Other or Not Otherwise Grouped Aquatic Foods","Philippines",1
