"study_number","contaminant"
"353","Microplastics"
"357","Microplastics"
"360","Microplastics"
"361","Microplastics"
"362","Microplastics"
"363","Microplastics"
"364","Microplastics"
"366","Microplastics"
"1","Organic Contaminant"
"2","Organic Contaminant"
"3","Organic Contaminant"
"4","Organic Contaminant"
"5","Organic Contaminant"
"6","Organic Contaminant"
"7","Organic Contaminant"
"8","Organic Contaminant"
"9","Organic Contaminant"
"12","Organic Contaminant"
"14","Organic Contaminant"
"15","Organic Contaminant"
"16","Organic Contaminant"
"17","Organic Contaminant"
"18","Organic Contaminant"
"19","Organic Contaminant"
"20","Organic Contaminant"
"21","Organic Contaminant"
"22","Organic Contaminant"
"23","Organic Contaminant"
"27","Organic Contaminant"
"29","Organic Contaminant"
"33","Organic Contaminant"
"34","Organic Contaminant"
"42","Organic Contaminant"
"45","Organic Contaminant"
"46","Organic Contaminant"
"48","Organic Contaminant"
"52","Organic Contaminant"
"54","Organic Contaminant"
"57","Organic Contaminant"
"62","Organic Contaminant"
"63","Organic Contaminant"
"70","Organic Contaminant"
"71","Organic Contaminant"
"72","Organic Contaminant"
"77","Organic Contaminant"
"79","Organic Contaminant"
"84","Organic Contaminant"
"88","Organic Contaminant"
"90","Organic Contaminant"
"94","Organic Contaminant"
"105","Organic Contaminant"
"107","Organic Contaminant"
"109","Organic Contaminant"
"110","Organic Contaminant"
"115","Organic Contaminant"
"120","Organic Contaminant"
"122","Organic Contaminant"
"134","Organic Contaminant"
"144","Organic Contaminant"
"146","Organic Contaminant"
"147","Organic Contaminant"
"148","Organic Contaminant"
"149","Organic Contaminant"
"152","Organic Contaminant"
"166","Organic Contaminant"
"183","Organic Contaminant"
"184","Organic Contaminant"
"186","Organic Contaminant"
"189","Organic Contaminant"
"200","Organic Contaminant"
"201","Organic Contaminant"
"203","Organic Contaminant"
"205","Organic Contaminant"
"207","Organic Contaminant"
"209","Organic Contaminant"
"214","Organic Contaminant"
"216","Organic Contaminant"
"221","Organic Contaminant"
"233","Organic Contaminant"
"234","Organic Contaminant"
"245","Organic Contaminant"
"247","Organic Contaminant"
"253","Organic Contaminant"
"255","Organic Contaminant"
"265","Organic Contaminant"
"266","Organic Contaminant"
"267","Organic Contaminant"
"298","Organic Contaminant"
"299","Organic Contaminant"
"304","Organic Contaminant"
"310","Organic Contaminant"
"313","Organic Contaminant"
"314","Organic Contaminant"
"318","Organic Contaminant"
"331","Organic Contaminant"
"333","Organic Contaminant"
"336","Organic Contaminant"
"347","Organic Contaminant"
